FID;Z_Normalized;BLUE_N;GREEN_N;RED_N;NIR_N
268;0,14379085;0,971530249;0,924757282;0,966139955;1
269;0,14379085;0,971530249;0,924757282;0,966139955;1
270;0,14379085;0,971530249;0,924757282;0,966139955;1
271;0,14379085;0,971530249;0,924757282;0,966139955;1
272;0,14379085;0,971530249;0,924757282;0,966139955;1
273;0,137254902;0,971530249;0,924757282;0,966139955;1
274;0,137254902;0,971530249;0,924757282;0,966139955;1
275;0,137254902;0,971530249;0,924757282;0,966139955;1
276;0,137254902;0,971530249;0,924757282;0,966139955;1
277;0,137254902;0,971530249;0,924757282;0,966139955;1
278;0,137254902;0,971530249;0,924757282;0,966139955;1
279;0,137254902;0,971530249;0,924757282;0,966139955;1
280;0,124183007;0,971530249;0,924757282;0,966139955;1
281;0,117647059;0,971530249;0,924757282;0,966139955;1
282;0,117647059;0,971530249;0,924757282;0,966139955;1
283;0,117647059;0,971530249;0,924757282;0,966139955;1
284;0,124183007;0,971530249;0,924757282;0,966139955;1
285;0,117647059;0,971530249;0,924757282;0,966139955;1
286;0,117647059;0,971530249;0,924757282;0,966139955;1
287;0,117647059;0,971530249;0,924757282;0,966139955;1
288;0,117647059;0,971530249;0,924757282;0,966139955;1
289;0,124183007;0,971530249;0,924757282;0,966139955;1
290;0,124183007;0,971530249;0,924757282;0,966139955;1
291;0,117647059;0,971530249;0,924757282;0,966139955;1
292;0,117647059;0,971530249;0,924757282;0,966139955;1
293;0,104575163;0,971530249;0,924757282;0,966139955;1
294;0,130718954;0,971530249;0,924757282;0,966139955;1
295;0,130718954;0,971530249;0,924757282;0,966139955;1
296;0,176470588;0,971530249;0,924757282;0,966139955;1
297;0,176470588;0,971530249;0,924757282;0,966139955;1
298;0,111111111;0,971530249;0,924757282;0,966139955;1
299;0,163398693;0,971530249;0,924757282;0,966139955;1
300;0,169934641;0,971530249;0,924757282;0,966139955;1
301;0,124183007;0,971530249;0,924757282;0,966139955;1
302;0;0,099644128;0,063106796;0,027088036;0,787573468
303;0;0,099644128;0,063106796;0,027088036;0,787573468
304;0,006535948;0,099644128;0,063106796;0,027088036;0,787573468
305;0,013071895;0,099644128;0,063106796;0,027088036;0,787573468
306;0,019607843;0,099644128;0,063106796;0,027088036;0,787573468
307;0,013071895;0,099644128;0,063106796;0,027088036;0,787573468
308;0,013071895;0,099644128;0,063106796;0,027088036;0,787573468
309;0,006535948;0,099644128;0,063106796;0,027088036;0,787573468
310;0,006535948;0,099644128;0,063106796;0,027088036;0,787573468
311;0,019607843;0,099644128;0,063106796;0,027088036;0,787573468
312;0,019607843;0,099644128;0,063106796;0,027088036;0,787573468
313;0,019607843;0,099644128;0,063106796;0,027088036;0,787573468
314;0,019607843;0,099644128;0,063106796;0,027088036;0,787573468
315;0,026143791;0,099644128;0,063106796;0,027088036;0,787573468
316;0,026143791;0,099644128;0,063106796;0,027088036;0,787573468
317;0,026143791;0,099644128;0,063106796;0,027088036;0,787573468
318;0,026143791;0,099644128;0,063106796;0,027088036;0,787573468
319;0,026143791;0,099644128;0,063106796;0,027088036;0,787573468
320;0,026143791;0,099644128;0,063106796;0,027088036;0,787573468
321;0,026143791;0,099644128;0,063106796;0,027088036;0,787573468
322;0,026143791;0,099644128;0,063106796;0,027088036;0,787573468
323;0,026143791;0,099644128;0,063106796;0,027088036;0,787573468
324;0,026143791;0,099644128;0,063106796;0,027088036;0,787573468
325;0,026143791;0,099644128;0,063106796;0,027088036;0,787573468
326;0,026143791;0,099644128;0,063106796;0,027088036;0,787573468
327;0,026143791;0,099644128;0,063106796;0,027088036;0,787573468
328;0,026143791;0,099644128;0,063106796;0,027088036;0,787573468
329;0,019607843;0,099644128;0,063106796;0,027088036;0,787573468
330;0,019607843;0,099644128;0,063106796;0,027088036;0,787573468
331;0,019607843;0,099644128;0,063106796;0,027088036;0,787573468
332;0,026143791;0,099644128;0,063106796;0,027088036;0,787573468
333;0,026143791;0,099644128;0,063106796;0,027088036;0,787573468
334;0,026143791;0,099644128;0,063106796;0,027088036;0,787573468
335;0,026143791;0,099644128;0,063106796;0,027088036;0,787573468
336;0,019607843;0,099644128;0,063106796;0,027088036;0,787573468
337;0,019607843;0,099644128;0,063106796;0,027088036;0,787573468
338;0,032679739;0,099644128;0,063106796;0,027088036;0,787573468
339;0,039215686;0,099644128;0,063106796;0,027088036;0,787573468
340;0,026143791;0,099644128;0,063106796;0,027088036;0,787573468
341;0,026143791;0,099644128;0,063106796;0,027088036;0,787573468
342;0,032679739;0,099644128;0,063106796;0,027088036;0,787573468
343;0,104575163;0;0;0;0,680100756
344;0,104575163;0;0;0;0,680100756
345;0,104575163;0;0;0;0,680100756
346;0,104575163;0;0;0;0,680100756
347;0,104575163;0;0;0;0,680100756
348;0,104575163;0;0;0;0,680100756
349;0,104575163;0;0;0;0,680100756
350;0,111111111;0;0;0;0,680100756
351;0,111111111;0;0;0;0,680100756
352;0,111111111;0;0;0;0,680100756
353;0,111111111;0;0;0;0,680100756
354;0,111111111;0;0;0;0,680100756
355;0,111111111;0;0;0;0,680100756
356;0,111111111;0;0;0;0,680100756
357;0,117647059;0;0;0;0,680100756
